time,treatment,repetition,biomass
48,T4,rep_3,35.7936
60,T4,rep_3,37.9388
72,T4,rep_3,40.9665
84,T4,rep_3,38.9524
96,T4,rep_3,42.8646
108,T4,rep_3,41.4665
120,T4,rep_3,41.8818
132,T4,rep_3,40.7786
144,T4,rep_3,45.1786
156,T4,rep_3,43.0838
168,T4,rep_3,44.7989
